Applaud.	Pumalakpak.
Sugary foods can cause pimples.	Ang mga maasukal na pagkain ay maaaring maging sanhi ng mga tigyawat.
Sugary foods can cause pimples.	Ang mga maasukal na pagkain ay maaaring maging sanhi ng mga tagihawat.
Take breaks from using a computer every once in a while.	Magpahinga sa paggamit ng computer paminsan-minsan.
Talk of technological innovation is pointless.	Ang mga usapin tungkol sa teknolohikal na kabaguhan ay walang kabuluhan.
Teachers nowadays use technology in teaching.	Ang mga guro ngayon ay gumagamit na ng teknolohiya sa pagturo.
Ten minutes later Lavrushka brought the coffee.	Makalipas ang sampung minuto dinila na ni Lavrushka ang kape.
Tennis began in France in the thirteenth century.	Nagsimula ang tennis sa France noong ika-13 na siglo.
That company is completely monopolizing the market.	Ang kumpanya na iyon ay ganap na minomonopolisa ang merkado.
That means you were not dreaming about history.	Ibig sabihin ay hindi ka nananaginip tungkol sa kasaysayan.
That morning Kutuzov seemed worn and irritable.	Noong umagang iyon ay mukahng nababahala at nababalisa si Kutuzov.
That's imminent is the fact that the antichrist.	Na siguradong magaganap ay ang katotohanang darating ang antikristo.
That's what mindless cramming does to you.	Ganyan ang mangyayari kapag sobra kang nag-aaral nang hindi natututo.
That's why I was absent from school yesterday.	Ayun kung bakit hindi ako pumasok sa eskwela kahapon.
The airplane technicians are staying on tents.	Ang mga technician ng eroplano ay nanunuluyan sa mga tolda.
The anesthetic general anesthetic works throughout the body.	Gumagana ang anestetikong heneral na pampamanhid sa buong katawan.
The artistry is truly alive in those films.	Ang kasiningan ay talagang buhay sa mga pelikulang iyon.
The baby camel is powerful enough to cause damage.	Malakas ang batang kamelyo upang magdulot ng pinsala.
The baby camel needs to be fed multiple times.	Kailangan pakainin ang batang kamelyo ng maraming beses.
The baby centipede is powerful enough to cause damage.	Malakas ang batang luslos upang magdulot ng pinsala.
The baby centipede needs to be fed multiple times.	Kailangan pakainin ang batang luslos ng maraming beses.
The baby deer is powerful enough to cause damage.	Malakas ang batang usa upang magdulot ng pinsala.
The bats believe in a life after death.	Naniniwala ang mga paniki sa buhay pagkatapos ng kamatayan.
The bear is participating in a contest of strength.	Lumalahok sa isang paligsahan ng lakas ang oso.
The bear's twin destroyed their friend's city.	Sinira ng kambal ng oso ang siyudad ng kanilang kaibigan.
The beetle's team has to deliver a message.	Ang koponan ng salagubang ay kailangan magpadala ng mensahe.
The beetle's team head to the next village.	Nagtungo ang koponan ng salagubang sa susunod na bayan.
The beetles deliver the message to the head turtle.	Pinadala ng salagubang ang mensahe sa punong salagubang.
The brand Xerox almost became a generic name.	Halos naging isang pangkaraniwang pangalan ang tatak na Xerox.
The butterflies arrived in Paris at the same time.	Parehong oras ang mga paru-paro dumating sa paris.
The camel fails in finding a new owner.	Hindi nagtagumpay ang kamelyo sa paghahanap ng bagong may-ari.
The carabao became the captain of the bicycle club.	Naging kapitan ng koponan ng bisikleta ang kalabaw.
The carabaos go to school on bikes.	Sumasakay ang mga kalabaw sa mga bisikleta papunta sa paaralan.
The cardcaptor chicken comes to the rescue.	Ang tagahuli ng kard na manok ay dumating upang iligtas.
The cats talked about the generation of miracles.	Nag-usap ang mga pusa tungkol sa henerasyon ng milagro.
The centipede fails in finding a new owner.	Hindi nagtagumpay ang luslos sa paghahanap ng bagong may-ari.
The chick admired a famous volleyball player.	Hinangaan ng sisiw ang isang sikat na manlalaro ng volleyball.
The chick dreamed of being a volleyball player.	Pinangarap ng sisiw ang maging isang manlalaro ng volleyball.
The chicken's friends help in capturing the cards.	Tumulong ang kaibigan ng manok sa paghuli ng kard.
The city is filled with people every weekend.	Napupuno ng tao ang siyudad kapag katapusan ng linggo.
The class atmosphere usually depends on the teacher.	Ang kapaligiran ng klase ay karaniwang nakasalalay sa guro.
The class automatically became quiet when the teacher arrived.	Biglang naging tahimik ang klase pagdating ng guro.
The coach praised his team for their perseverance.	Pinuri ng coach ang kanyang pangkat sa kanilang pagtitiyaga.
The cockroach's brother was last seen last week.	Huling nakita ang kapatid ng ipis noong isang linggo.
The cockroach's brother was last seen last year.	Huling nakita ang kapatid ng ipis noong nakaraang taon.
The cockroach's friends discover dead bodies.	Nadiskubre ng mga kaibigan ng ipis ang mga patay na katawan.
The couple smooching in the seats beside me.	Ang pares na naghahalikan sa upuan sa tabi ko.
The crickets are easy to distinguish from each other.	Madaling malaman ang kuliglig mula sa ibang kuliglig.
The crickets chatted with each other to pass the time.	Nagdaldalan ang mga kuliglig pampalipas ng oras.
The crickets haven't spoken in two months.	Hindi nag-uusap ang mga kuliglig sa loob ng dalawang buwan.
The crickets hurried to the scene of the accident.	Nagmadali ang mga kuliglig sa pinangyarihan ng aksidente.
The crocodile looked at my reflection in the window.	Tinignan ng buwaya ang aking repleksyon sa bintana.
The crocodiles came from all over the world.	Nanggaling ang mga buwala sa iba't-ibang sulok ng mundo.
The crocodiles named the spaceship Discovery.	Ang mga buwaya ay pinangalanan ang kanilang sasakyang pamhimpapawid na Discovery.
The crocodiles say the cabinet will resign.	Sinasabi ng mga buwaya na aalis sa pwesto ang kabinete.
The crocodiles want to tell you their story.	Gustong sabihin sayo ng mga buwaya ang kanilang kwento.
The defenders were soon out of breath.	Di nagtagal ay naubusan na ng hininga ang mga tagpagtanggol.
The determined protesters have not logged in today.	Ang mga determinadong raliyista ay hindi nag-log in ngayon.
The dog admired a famous volleyball player.	Hinangaan ng aso ang isang sikat na manlalaro ng volleyball.
The dog dreamed of being a volleyball player.	Pinangarap ng aso ang maging isang manlalaro ng volleyball.
The eagles lugged the refrigerator up the stairs.	Kinaladkad ng mga agila ang refridgerator paakyat ng hagdan.
The eagles treat their children like garbage.	Tinatrato ng mga agila ang anak nila na parang basura.
The elephant will be able to face its own teammates.	Makakaharap ng elepante ang kanyang mga kakampi.
The elephant will fight anyone who gives jokes.	Lalabanan ng elepante ang sino mang magbibigay ng biro.
The elephants talked about the generation of miracles.	Nag-usap ang mga elepante tungkol sa henerasyon ng milagro.
The entrepreneur must always dress in an appealing manner.	Ang negosyante ay dapat laging nananamit nang kaakit-akit.
The exorcists cannot beat the big demon.	Hindi matalo ng mga taga-alis ng demonyo ang malaking demonyo.
The facilitator deftly controlled the flow of discussion.	Mahusay na ginabayan ng facilitator ang daloy ng talakayan.
The feelings of the people were of insecurity.	Ang pakiramdam ng mga tao ay ng kawalan kapanatagan.
The firefly's brother was last seen last week.	Huling nakita ang kapatid ng alitaptap noong isang linggo.
The firefly's brother was last seen last year.	Huling nakita ang kapatid ng alitaptap noong nakaraang taon.
The firefly's friends discover dead bodies.	Nadiskubre ng mga kaibigan ng alitaptap ang mga patay na katawan.
The fledgling company's profit is noticeably growing annually.	Ang tubo ng baguhang kumpanya ay kapansin-pansing lumalaki taun-taon.
The frog's sword cuts through the big demon.	Hiniwa ng palaka ang malaking demonyo gamit ang espada.
The grades of all her students decreased.	Ang marka ng lahat ng kanyang mga estudyante ay nagsibabaan.
The hens agree to kill more hens.	Nagkasundo ang mga inahin na pumatay pa ng maraming inahin.
The horse is determined to play until it gets out.	Determinado ang kabayo na maglaro hanggang makalabas.
The ideology of the youth is filled with madness.	Ang ideolohiya ng kabataan ay puno ng kahibangan.
The jellyfish's friends help in capturing the jellyfishes.	Tumulong ang kaibigan ng dikya sa paghuli ng dikya.
The jellyfishcaptor jellyfish comes to the rescue.	Ang tagahuli ng dikya na dikya ay dumating upang iligtas.
The kittens gather at the scene of the crime.	Nagtipon-tipon ang mga kuting sa pinangyarihan ng krimen.
The kittens must kill each other to survive.	Kailangan patayin ng mga kuting ang isa't-isa para mabuhay.
The lice want to talk about religion.	Gusto nilang pag-usapan ang mga bagay tungang lisal sa relihiyon.
The lions gather at the scene of the crime.	Nagtipon-tipon ang mga leon sa pinangyarihan ng krimen.
The lions must kill each other to survive.	Kailangan patayin ng mga leon ang isa't-isa para mabuhay.
The lizard usually do my shopping at this supermarket.	Kalimitang sa supermarket na ito ang butiki namimili.
The lizard will save the money for next time.	Mag-iipon ang butiki ng pera para sa susunod.
The lizards believe in a life after death.	Naniniwala ang mga butiki sa buhay pagkatapos ng kamatayan.
The lizards sell imports at that store.	Nagbebenta ng mga angkat ang mga butiki sa tindahang iyon.
The magical bears use their secret weapon.	Ginamit ng mahikal na mga oso ang kanilang itinatagong armas.
The magical goats use their secret weapon.	Ginamit ng mahikal na mga kambing ang kanilang itinatagong armas.
The manager posted the bad news this afternoon.	Ang tagapamahala ay nagpaskil ng masamang balita ngayong hapon.
The mosquito was told that The mosquito wouldn't be allowed.	Sinabihan ang lamok na hindi ito papayagan.
The mosquito wish The mosquito had enough money.	Hiniling ng lamok na mayroon itong sapat na pera.
The mosquitoes are demanding shorter working hours.	Humihingi ng mas maikling oras sa trabaho ang mga lamok.
The mosquitoes demanded that the mayor should resign.	Gusto ng aso na umalis ang punonglungsod sa pwesto.
The mosquitoes lugged the refrigerator up the stairs.	Kinaladkad ng mga lamok ang refridgerator paakyat ng hagdan.
The mosquitoes recommend that the image should be stored.	Inimungkahi ng mga lamok na itago ang imahe.
The mosquitoes supplied the sufferers with food.	Ang mga lamok ay nagbigay ng pagkain sa mga nagdusa.
The mosquitoes treat their children like garbage.	Tinatrato ng mga lamok ang anak nila na parang basura.
The mosquitoes wonder whether the dog forgot to tell.	Iniisip ng lamok kung nakalimutan ng aso sabihin.
The most important things in life aren't things.	Ang pinakamahalagang bagay sa buhay ay hindi mga bagay.
The moth looked at my reflection in the window.	Tinignan ng gamugamo ang aking repleksyon sa bintana.
The natives joined today's gathering in numbers.	Ang mga katutubo ay sumali sa pagtitipon ngayon nang maramihan.
The new administration assigned us new uniforms.	Itinalaga sa amin ng bagong administrasyon ang mga bagong uniporme.
The newly appointed manager came from another branch.	Nagmula sa ibang sangay ang bagong hirang na tagapamahala.
The newspaper says that the typhoon hit Kyushu.	Sabi ng pahayagan, tinamaan daw ng bagyo ang Kyushu.
The next coemption for the carabaos is near.	Nalalapit na ang susunod na kumpetisyon ng mga kalabaw.
The next competition for the sharks is near.	Nalalapit na ang susunod na kumpetisyon ng mga pating.
The original structure uses a huge source.	Ang mga orihinal na istraktura ay gumagamit ng napalaking pinagkukunan.
The other centipedes try to take the baby centipede.	Sinubukang kunin ng ibang luslos ang batang luslos.
The other dragonflies try to take the baby dragonfly.	Sinubukang kunin ng ibang tutubi ang batang tutubi.
The other fishes praise the strong exorcist.	Pinuri ng ibang isda ang malakas na taga-alis ng demonyo.
The other frogs praise the strong exorcist.	Pinuri ng ibang palaka ang malakas na taga-alis ng demonyo.
The owl fall asleep in the class every now and then.	Nakakatulog ang kuwago sa klase paminsan-minsan.
The pigs gather at the scene of the crime.	Nagtipon-tipon ang mga baboy sa pinangyarihan ng krimen.
The pigs must kill each other to survive.	Kailangan patayin ng mga baboy ang isa't-isa para mabuhay.
The president decided not to speak to the press.	Nagpasya ang pangulo na huwag makipag-usap sa pahayagan.
The president is expected to hold a conference this afternoon.	Ang pangulo ay inaasahang magkokomperensiya ngayong hapon.
The prince and princess are chasing one another.	Ang prinsipe at prinsesa ay hinahabol ang isa't isa.
The production tonight was worse than usual.	Ang produksyon ngayong gabi ay mas pangit kaysa sa karaniwan.
The Rabbi was obviously bemused to say the least.	Ang Rabbi ay walang alinlangang natuwa kahit papano.
The rabbit's brother was last seen last week.	Huling nakita ang kapatid ng kuneho noong isang linggo.
The rabbit's brother was last seen last year.	Huling nakita ang kapatid ng kuneho noong nakaraang taon.
The rabbit's friends discover dead bodies.	Nadiskubre ng mga kaibigan ng kuneho ang mga patay na katawan.
The rats hurried to the scene of the accident.	Nagmadali ang mga daga sa pinangyarihan ng aksidente.
The regulations are there to reduce risks.	Ang mga regulasyon ay nariyan upang mabawasan ang mga panganib.
The scorpion wonder whether the dog forgot to tell.	Iniisip ng alakdan kung nakalimutan ng aso sabihin.
