$3.5 million.	$3.5 milyon.
I live in Monaco.	Nakatira ako sa Monako.
I live in Mongolia.	Nakatira ako sa Mongolia.
I live in Morocco.	Nakatira ako sa Maruekos.
I live in Myanmar.	Nakatira ako sa Myanmar.
I live in Namibia.	Nakatira ako sa Namibya.
I live in Nauru.	Nakatira ako sa Nauru.
I live in Nepal.	Nakatira ako sa Nepal.
I live in Netherlands.	Nakatira ako sa Olanda.
I live in Nicaragua.	Nakatira ako sa Nicaragua.
I live in Niger.	Nakatira ako sa Niyer.
I live in Norway.	Nakatira ako sa Noruwega.
I live in Oman.	Nakatira ako sa Oman.
I live in Pakistan.	Nakatira ako sa Pakistan.
I live in Palau.	Nakatira ako sa Palaw.
I live in Panama.	Nakatira ako sa Panama.
I live in Paraguay.	Nakatira ako sa Paraguay.
I live in Peru.	Nakatira ako sa Peru.
I live in Poland.	Nakatira ako sa Polonya.
I live in Portugal.	Nakatira ako sa Portugal.
I live in Qatar.	Nakatira ako sa Katar.
I live in Romania.	Nakatira ako sa Rumanya.
I live in Russia.	Nakatira ako sa Rusya.
I live in Rwanda.	Nakatira ako sa Ruwanda.
I live in Samoa.	Nakatira ako sa Samoa.
I live in Senegal.	Nakatira ako sa Senegal.
I live in Serbia.	Nakatira ako sa Serbiya.
I live in Seychelles.	Nakatira ako sa Seyshels.
I live in Singapore.	Nakatira ako sa Singapore.
I live in Slovakia.	Nakatira ako sa Slovakia.
I live in Slovenia.	Nakatira ako sa Slovenia.
I live in Somalia.	Nakatira ako sa Somalya.
I live in Spain.	Nakatira ako sa Espanya.
I live in Sri Lanka.	Nakatira ako sa Sri Lanka.
I live in Sudan.	Nakatira ako sa Sudan.
I live in Suriname.	Nakatira ako sa Surinam.
I live in Sweden.	Nakatira ako sa Suwesya.
I live in Switzerland.	Nakatira ako sa Suwisa.
I live in Syria.	Nakatira ako sa Syria.
I live in Tanzania.	Nakatira ako sa Tanzania.
I live in Thailand.	Nakatira ako sa Taylandiya.
I live in Togo.	Nakatira ako sa Togo.
I live in Tonga.	Nakatira ako sa Tonga.
I live in Tunisia.	Nakatira ako sa Tunisya.
I live in Turkey.	Nakatira ako sa Pabo.
I live in Tuvalu.	Nakatira ako sa Tuvalu.
I live in Uganda.	Nakatira ako sa Uganda.
I live in Ukraine.	Nakatira ako sa Ukranya.
I live in Uruguay.	Nakatira ako sa Uruguay.
I live in Vanuatu.	Nakatira ako sa Vanuatu.
I live in Venezuela.	Nakatira ako sa Venzuela.
I live in Vietnam.	Nakatira ako sa Vietnam.
I live in Yemen.	Nakatira ako sa Yemen.
I live in Zambia.	Nakatira ako sa Sambya.
I live in Zimbabwe.	Nakatira ako sa Simbabwe.
I live in Djibouti.	Nakatira ako sa Hiboti.
I live in Nigeria.	Nakatira ako sa Nigerya.
I live nearby.	Sa malapit ako nakatira.
I look afraid.	Natatakot ako.
I look at the mirror.	Tumingin ako sa salamin.
I look at the monitor.	Tumingin ako sa monitor.
I look forward to it.	Inaasahan ko iyon.
I look forward to it.	Inaabangan ko iyon.
I look like insane.	Para na akong baliw.
I look nervous.	Kinakabahan ako.
I look scared.	Natatakot ako.
I looked at it.	Tiningnan koi to.
I looked at my watch.	Tinignan ko ang relo ko.
I looked carefully.	Tiningnan ko nang maigi.
I looked for it.	Hinahap ko siya.
I looked for the key.	Hinanap ko yung susi.
I lost again.	Ako ay natalo muli.
I lost again.	Ako ay natalo ulit.
I lost an earring.	Nawalan ako ng hikaw.
I lost consciousness.	Nawalan ako ng malay.
I lost my bag.	Nawala ko ang bag ko.
I lost my bag.	Nawala ko ang aking bag.
I lost my fish.	Nawala ko ang aking isda.
I lost my key.	Nawala ko susi ko.
I lost my money.	Nadali ang pera ko.
I lost my money.	Nawala ko ang aking pera.
I lost my passport.	Nawala ko ang pasaporte ko.
I lost my pen.	Nawala ang aking panulat.
I lost my pencil.	Nawala ang aking lapis.
I lost my phone.	Nawala ko ang aking telepono.
I lost my self.	Nawala ang aking sarili.
I lost my ticket.	Nawala ko yung tiket ko.
I lost my wallet.	Nawala ko ang aking pitaka.
I lost my watch.	Nawala ko ang relo ko.
I lost weight.	Gumaan ako.
I lost your ticket.	Nawala ko yung tiket mo.
I lost.	Natalo ako.
I love astronomy.	Mahal ko ang astronomiya.
I love bananas.	Mahal ko ang saging.
I love beer.	Mahilig ako sa serbesa.
I love everyone.	Mahal ko ang lahat.
I love her anyway.	Mahal ko pa rin siya.
I love him.	Mahal ko siya.
I love lasagna.	Gusto ko ang lasagna.
I love life.	Mahal ko ang buhay.
I love milk.	Mahilig ako sa gatas.
I love my cat.	Mahal ko ang aking pusa.
I love my cat.	Mahalo ko ang aking pusa.
I love my country.	Mahal ko ang aking bayan.
I love my country.	Mahal ko ang aking bansa.
I love my cow.	Mahal ko ang aking baka.
I love my dad.	Mahal ko ang aking tatay.
I love my dog.	Mahal ko ang aking aso.
I love my family.	Mahal ko ang aking pamilya.
I love my father.	Mahal ko si tatay.
I love my horse.	Mahal ko ang aking kabayo.
I love my job.	Mahal ko ang trabaho ko.
I love my mom.	Mahal ko ang aking nanay.
I love my mother.	Mahal ko ang nanay ko.
I love my Note 8.	Gusto ko ang aking Note 8.
I love my pig.	Mahal ko ang aking baboy.
I love reading.	Mahilig ako magbasa.
I love teaching.	Mahal ko ang pagtuturo.
I love this place.	Gusto ko ang lugar na ito.
I love to eat.	Mahilig akong kumain.
I love travelling.	Mahilig akong bumiyahe.
I love you so much.	Mahal na mahal kita.
I love you so much.	Iniibig kitang lubos.
I love you, Tom.	Mahal kita, Tomas.
I love you.	Mahal kita.
I love you.	Iniibig kita.
I loved him.	Minahal ko siya.
I loved you once.	Minahal kita dati.
I loved you.	Minahal kita.
I made a mistake.	Nagkamali ako.
I made a mistake.	May nagawa akong mali.
I made it in Japan.	Ginawa ko ito sa Japan.
I made it through.	Ako ay nakalagpas.
I made that.	Ako ang gumawa niyan.
I may die tomorrow.	Baka mamataya ko bukas.
I may die tomorrow.	Maaari akong mamatay bukas.
I memorized.	Kinabisado ko.
I messed up everything.	Nagulo ko ang lahat.
I met a lot.	Madami akong nakilala.
I met him yesterday.	Nakilala ko siya kahapon.
I met new friends.	May mga bago akong nakilala.
I might be sick.	Baka ako ay may sakit.
I might feel sick.	Baka magkasakit ako.
I might get hurt.	Baka masaktan ako.
I might go there.	Baka ako ay pumunta doon.
I miss her so much.	Namimiss ko na siya.
I miss Tom already.	Miss ko na si Tom.
I miss you already.	Miss na kita.
I miss you too.	Miss na rin kita.
I miss you.	Miss na kita.
I mixed this.	Hinalo ko ito.
I moved beside her.	Tinabihan ko siya.
I moved beside him.	Tinabihan ko siya.
I must go at once.	Kailangan kong umalis agad.
I must help you.	Dapat kitang tulungan.
I must help you.	Kailangan kitang tulungan.
I must help.	Dapat akong tumulong.
I must help.	Kailangan kong tumulong.
I need a comb.	Kailangan ko ng suklay.
I need a doctor.	Kailangan ko ng doktor.
I need a drink.	Kailangan niya ng inumin.
I need a holiday.	Kailangan ko ng bakasyon.
I need a hotel.	Kailangan ko ng hotel.
I need a job.	Kailang ko ng trabaho.
I need a map.	Kailangan ko ng mapa.
I need a prescription.	Kailangan ko ng reseta.
I need a vacation.	Kailangan ko ng bakasyon.
I need a week.	Kailangan ko ng isang linggo.
I need clothes.	Kailangan ko ng mga damit.
I need food.	Kailangan ko ng pagkain.
I need food.	Kailangan niya ng pagkain.
I need help.	Kailangan ko ng tulong.
I need it immediately.	Kailangan ko iyon agad.
I need it later.	Kailangan ko iyan mamaya.
I need it yesterday.	Kailangan ko ito kahapon.
I need medicine.	Kailangan ko ng gamot.
I need money.	Kailangan ko ng pera.
I need silence.	Kailangan ko ng katahimikan.
I need sleep.	Kailangan ko ng tulog.
I need some sugar.	Kailangan ko ng asukal.
I need some water.	Kailangan ko ng tubig.
I need that.	Kailangan ko iyan.
I need this.	Kailangan ko ito.
I need to breathe.	Kailangan kong huminga.
I need to do this.	Kailangan ko 'tong gawin.
I need to do well.	Kailangan kong pagbutihin.
I need to drink.	Kailangan ko uminom.
I need to eat.	Kailangan ko kumain.
I need to go home.	Kailangan ko nang umuwi.
I need to improve.	Kailangan kong umunlad.
I need to know.	Kailangan ko malaman.
I need to rest.	Kailangan kong magpahinga.
I need to see her.	Kailangan ko siya Makita.
I need to see her.	Kailangan ko siyang makita.
I need to shower.	Kailangan niyang maligo.
I need to sleep.	Dapat akong matulog.
I need to sleep.	Kailangan ko nang matulog.
I need to study.	Kailangan ko mag-aral.
I need to travel.	Kailangan ko maglakbay.
I need treatment.	Kailangan niya ng paggamot.
I need you.	Kailangan kita.
I need your help.	Kailangan ko ang tulong mo.
I never said that.	Hindi ko sinasabi 'yan.
I never thought of that.	Hindi ko naisip iyon.
I no longer love you.	Hindi na kita mahal.
I noticed her.	Napansin ko sya.
I noticed that.	Napansin ko iyan.
I often travel.	Madalas ako maglakbay.
I only greeted you.	Binati lang kita.
I only want a snack.	Gusto ko lang ng meryenda.
I opened it a while ago.	Binuksan ko kanina.
I opened my hand.	Binuksan ko ang aking kamay.
I opened my mind.	Binuksan ko ang aking utak.
I opened the door.	Binuksan ko ang pinto.
I outwitted you.	Nautakan kita.
I outwitted you.	Naisahan kita.
I overslept.	Napahaba ang tulog ko.
I owe my friend.	May utang ako sa kaibigan ko.
I owe you.	May utang ako sa iyo.
I painted your face.	Ipininta ko ang mukha mo.
I passed out last night.	Nahimatay ako kagabi.
I passed out.	Nawalan ako ng malay.
I passed the exams.	Pumasa ako sa pagsusulit.
I passed the paper.	Pinasa ko ang papel.
I passed the paper.	Nagpasa ako ng papel.
I passed the test.	Nakapasa ako sa pagsusulit.
I pick up garbage.	Nagpupulot ako ng basura.
I pick up trash.	Nagpupulot ako ng basura.
I picked out a tooth.	Nakabunot ako ng ngipin.
I picked up garbage.	Nagpulot ako ng basura.
I picked up trash.	Nagpulot ako ng basura.
I picked you.	Pinili kita.
I plan to do it soon.	Balak ko gawin agad.
I play basketball.	Naglalaro ako ng basketball.
I play chess.	Naglalaro ako ng chess.
I play football.	Naglalaro ako ng football.
I play frequently.	Madalas akong maglaro.
I play piano.	Tumutugtog ako ng piano.
I play tennis.	Naglalaro ako ng tennis.
I play volleyball.	Naglalaro ako ng volleyball.
I pray every night.	Nagdarasal ako gabi-gabi.
I pray.	Nagdadasal ako.
I prayed.	Nagdasal ako.
I prayed.	Ako ay nagdasal.
I prefer it that way.	Mas gusto ko na ganoon.
I prefer it this way.	Mas gusto kong ganito.
I prefer this.	Mas gusto ko ito.
I prefer to be alone.	Mas gusto ko ang mag-isa.
I promise.	Pinapangako ko.
I punched him.	Sinuntok ko siya.
I put it back.	Ibinalik ko.
I put it in the bag.	Nilagay ko ito sa bag.
I quit.	Ayoko na.
I raise my hand.	Nagtataas ako ng kamay.
I raise my hand.	Nagtataas ako ng aking kamay.
I raised my hand.	Nagtaas ako ng kamay.
I raised my hand.	Nagtaas ako ng aking kamay.
I ran to the tree.	Tumakbo ako papunta sa puno.
I ran.	Tumakbo ako.
I read a book.	Nagbasa ako ng libro.
I read a while ago.	Nagbasa ako kanina.
I read books.	Nagbabasa ako ng mga libro.
I read frequently.	Madalas akong magbasa.
I read the book.	Binasa ko ang libro.
I read yesterday.	Bumasa ako kahapon.
I read yesterday.	Nagbasa ako kahapon.
I read.	Ako ay nagbasa.
I really don't know.	Hindi ko talaga alam.
I really like him.	Gustong gusto ko siya.
I really like it.	Nagustuhan ko talaga ito.
I really want a beer.	Gusto ko talaga ng alak.
I refuse to allow it.	Hindi ko papayagan.
I refuse.	Ayaw ko.
I refused to join.	Tumanggi akong sumama.
I repeated.	Inulit ko.
I repeated.	Umulit ako.
I respect you.	Nirerespeto kita.
I rise up early.	Maaaga akong gumising.
I run frequently.	Madalas akong tumakbo.
I said so.	Sinabi ko.
I said to him.	Sanabi ko sa kanya.
I saw a carabao.	Nakakita ako ng kalabaw.
I saw a cow.	Nakakita ako ng baka.
I saw a doctor.	Pumunta na ako sa doktor.
I saw a snake.	Nakakita ako ng ahas.
I saw a whale.	Nakakita ako ng butanding.
I saw an airplane.	Nakita ko ang eroplano.
I saw her a while ago.	Nakita ko siya kanina.
I saw her eating.	Nakita ko siyang kumakain.
I saw her today.	Nakita ko siya sa araw na ito.
I saw her yesterday.	Nakita ko siya kahapon.
I saw her yesterday.	Nakit ako siya kahapon.
I saw him.	Nakita ko siya.
I saw him a while ago.	Nakita ko siya kanina.
I saw him a while back.	Nakita ko sya kanina.
I saw him dancing.	Nakita ko siyang sumasayaw.
I saw him once.	Nakita ko siya ng isang beses.
I saw him yesterday.	Nakita ko siya kahapon.
I saw him/her.	Nakita ko siya.
I saw my friend.	Nakita ko yung kaibigan ko.
I saw something.	May nakita ako.
I saw that.	Nakita ko yun.
I saw the truth.	Nakita ko ang katotohanan.
I saw them outside.	Nakita ko sila sa labas.
I saw Tom blink.	Nakita kong kumurap si Tomas.
I saw Tom earlier.	Nakita ko si Tom kanina.
I saw Tom there.	Nakita ko si Tomas doon.
I saw you see me.	Nakita kitang nakita ako.
I saw you yesterday.	Nakita kita kahapon.
I saw your bag.	Nakita ko ang bag mo.
I saw your passport.	Nakita ko ang passport mo.
I say that.	Aking sinasabi ang gayon.
I see fire.	Nakakakita ako ng apoy.
I see you.	Kita kita.
I seem to be lost.	Tila naliligaw ata ako.
I seldom fall down.	Bihira lang akong mabigo.
I seldom see him.	Minsan ko lang siya nakikita.
I shall give up.	Susuko ako.
I shall return.	Babalik ako.
I shall return.	Ako ay magbabalik.
I shall speak.	Magsasalita ako.
I shall watch.	Manonood ako.
I shave every morning.	Nag-aahit ako araw-araw.
I shook my head.	Kinalog ko ang aking ulo.
I shot the ball.	Itinira ko ang bola.
I should go with you.	Dapat sumama ako sayo.
I should help you.	Dapat kitang tulungan.
I should help you.	Kailangan kitang tulungan.
I should help.	Dapat akong tumulong.
I should help.	Kailangan kong tumulong.
I should not give up.	Hindi dapat ako sumuko.
I should stay quiet.	Dapat tumahimik ako.
I should take a look.	Dapat ko tignan.
I should've told Tom.	Dapat sinabi ko kay Tom.
I should've told you.	Dapat sinabi ko sayo.
I shouted.	Ako ay sumigaw.
I shower every night.	Naliligo ako gabi-gabi.
I sincerely hope not.	Sana talaga hindi.
I sing frequently.	Madalas akong kumanta.
I sleep anywhere.	Natutulog ako kahit saan.
I sleep early.	Maaga akong natutulog.
I sleep frequently.	Madalas akong matulog.
I sleep in class.	Natutulog ako sa klase.
I slept here once.	Minsan akong natulog dito.
I smoke cigarettes.	Ako ay naninigarilyo.
I smoke.	Ako ay humihithit.
I smoke.	Ako ay naninigarilyo.
I solved the problem.	Na-solve ko ang problema.
I sometimes skate.	Minsan ay nag-iiskate ako.
I sort of like him.	Medyo gusto ko siya.
I sort of understand.	Medyo naiintindihan ko.
I speak loudly.	Malakas ako magsalita.
I spoke.	Nagsalita ako.
I stayed inside.	Nanatili ako sa loob.
I stayed up late.	Nagpuyat ako.
I stayed.	Nanatili ako.
I stepped in the mud.	Tumapak ako sa putik.
I still don't get it.	Hindi ko pa rin nakuha.
I still love Tom.	Mahal ko pa rin si Tomas.
I stole it from Tom.	Ninakaw ko ito kay Tomas.
I studied last night.	Nag-aral ako kagabi.
I studied that already.	Inaral ko na iyan.
I studied that.	Inaral ko iyan.
I studied verbs.	Nag-aral ako ng mga pandiwa.
I studied with you.	Kasama kitang nag-aral.
I studied.	Ako ay nag-aaral.
I study frequently.	Madalas akong mag-aral.
I study slowly.	Ang bagal kong mag-aral.
I submitted the paper.	Pinasa ko ang papel.
I submitted the paper.	Nagpasa ako ng papel.
I support you.	Sinusuportahan kita.
I suppose you're hungry.	Palagay ko'y gutom ka.
I swallowed my pride.	Nilunok ko ang pride ko.
I sweep the floor.	Nagwawalis ako ng sahig.
I swept the floor.	Nagwalis ako ng sahig.
I swim every day.	Naglalangoy ako araw-araw.
I swim once a week.	Lumalangoy ako kada linggo.
I swim once a week.	Lumalangoy ako isang beses sa isang linggo.
I take.	Kumukuha ako.
I talk frequently.	Madalas akong magsalita.
I talk softly.	Mahina ako magsalita.
I think he'll come.	Tingin ko darating siya.
I think I am sick.	Mayroon yata akong sakit.
I think it's OK.	Sa tingin ko OK lang.
I think so.	Sa tingin ko.
I think this is mine.	Sa tingin ko sa akin ito.
I think this will do.	Sa tingin ko okay na ito.
I think you panicked.	Sa tingin ko nagulat ka.
I think you won't.	Sa tingin ko hindi.
I think you're drunk.	Sa tingin ko lasing ka.
I think you're right.	Isip ko'y tama ka.
I think you're wrong.	Sa tingin ko mali ka.
I think.	Tingin ko.
I thought about it.	Pinagisipan ko ito.
I thought about that.	Pinag-isipan ko iyan.
I thought I knew you.	Akala ko kilala kita.
I thought I was cool.	Akala ko cool ako.
I thought I was right.	Akala ko tama ako.
I thought it was Tom.	Akala ko si Tom.
I thought it was true.	Akala ko totoo yun.
I thought you'd left.	Akala ko ikaw ay aalis.
I thought.	Ako ay nag-isip.
I threw garbage.	Nagtapon ako ng basura.
I threw it a while ago.	Tinapon ko ito kanina.
I threw it already.	Tinapon ko na iyon.
I threw it.	Tinapon ko na.
I threw the garbage.	Tinapon ko ang basura.
I told the truth.	Nagsabi ako ng katotohanan.
I told you so.	Sabi ko na nga ba.
I told you so.	Sinabi ko na yan sa inyo.
I told you.	Sinabi ko sa iyo.
I took a chair aside.	Kumuha ako ng upuan.
I took a photo.	Kumuha ako ng litrato.
I took her height.	Tinimbang niya ako.
I took her weight.	Tinimbang niya ako.
I took his height.	Tinimbang niya ako.
I took his weight.	Tinimbang niya ako.
I took some soup.	Kumuha ako ng sabaw.
I took the bus.	Sumakay ako ng bus.
I tore the map.	Pinunit ko ang mapa.
I totally understand.	Naiintindihan ko talaga.
I touched the bottom.	Hinawakan ko ang ilalim.
I travel light.	Magaan ako maglakbay.
I traveled.	Naglakbay ako.
I tried singing.	Sinubukan kong kumanta.
I tried to stay.	Sinubukan kong manatili.
I trip frequently.	Madalas akong nadadapa.
I trust you.	Tiwala ako sa iyo.
I try.	Sinusubukan ko.
I turned off the tap.	Pinatay ko ang gripo.
I turned on the lamp.	Biinuksan ko ang lampara.
I turned on the light.	Binuksan ko ang ilaw.
I underestimated you.	Minaliit kita.
I understand you.	Naiintindihan kita.
I understand.	Naiintindihan ko.
I understood.	Naiintindihan ko.
I urge you.	Hinihimok kita.
I used to drink beer.	Umiinom ako dati ng alak.
I used to have a dog.	May aso ako dati.
I usually walk.	Madalas akong maglakad.
I voted for Tom.	Ibinoto ko si Tomas.
I waited an hour.	Naghintay ako ng isang oras.
I waited for a bit.	Naghintay lang ako saglit.
I waited for the train.	Hinintay ko ang tren.
I wake up early.	Maaga ako gumigising.
I wake up early.	Ako ay maagang gumigising.
I walk frequently.	Madalas akong maglakad.
I walked alone.	Naglakad ako mag-isa.
I walked away.	Lumakad ako papalayo.
I want chicken.	Gusto ko ng manok.
I want a gift.	Gusto ko ng regalo.
I want a prescription.	Gusto ko maresetahan.
I want an player!	Gusto ko ng player!
I want boiled egg.	Gusto ko ng nilagang itlog.
I want bread.	Gusto ko ng tinapay.
