Good morning, he said.	Magandang umaga, sinabi niya.
First Saturday is on June 3.	Unang Sabado ay sa Hunyo 3.
First Saturday is on May 6.	Unang Sabado ay sa Mayo 6.
First Sunday is on August 6.	Unang Linggo ay sa Agosto 6.
First Sunday is on July 2.	Unang Linggo ay sa Hulyo 2.
First Sunday is on June 4.	Unang Linggo ay sa Hunyo 4.
First Sunday is on May 7.	Unang Linggo ay sa Mayo 7.
First Thursday is on May 4.	Unang Huwebes ay sa Mayo 4.
First Tuesday is on May 2.	Unang Martes ay sa Mayo 2.
First up is something white.	Una ay isang bagay na puti.
fish is getting more expensive.	mas nagmumura ang isda.
fish is not that cheap.	hindi ganoon kamura ang isda.
fish is not that expensive.	hindi ganoong kamahal ang isda.
Fish is the most expensive.	Pinakamahal ang isda.
Fish live in the sea.	Nakatira sa dagat ang mga isda.
Five hundred thousand pesos.	Limang daang libong piso.
Five hundred thousand years.	Limang daang libong taon.
Fix your windows.	Ayusin moa ng mga bintana mo.
Flowers are colorful.	Makulay ang mga bulaklak.
Flowers are fragrant.	Mabango ang mga bulaklak.
Flowers cannot move.	Hindi nakakagalaw ang mga bulaklak.
Fold it like this.	Itupi mo ito na parang ganito.
Follow her footsteps.	Sundan mo ang mga yapak niya.
Follow the instructions.	Sumunod sa mga panuto.
Follow your dreams.	Sundan mo ang mga pangarap mo.
Food is expensive in America.	Ang mahal ng pagkain sa America.
Food's on the table, boys.	Naghain na ako, mga bata.
For movies or music.	Para sa mga pelikula at musika.
Forever is not enough.	Ang habangbuhay ay hindi sapat.
Forever is not enough.	Hindi sapat ang pang habang buhay.
Forty three students.	Apatnapu't tatlong estudyante.
found in scripture.	makikita sa banal na kasulatan.
Four hundred thousand pesos.	Apat na raang libong piso.
Four hundred thousand years.	Apat na raang libong taon.
Franco's breath is stinky.	Ang hininga ni Franco ay mabaho.
Fred O'Connor reluctantly held out the century-old notebook.	.
Free as the wind was he.	Malayang hangin ang tulad nya.
Freshmen are summoned.	Tinatawagan ang lahat ng mga freshman.
Frogs create warts.	Gumagawa ng mga kulugo ang mga palaka.
Frogs eat mosquitoes.	Kumakain ng mga lamok ang mga palaka.
Frogs have long tongues.	May mahabang dila ang mga palaka.
Frogs spit poison.	Dumudura ng lason ang mga palaka.
From the Treaty of Paris.	Mula sa Kasunduan sa Paris.
From where is this agati flower?	Saan galing ang katuray?
From where is this anchovy?	Saan galing ang dilis?
From where is this angelwing clam?	Saan galing ang diwal?
From where is this annatto seed?	Saan galing ang atsuete?
From where is this apple?	Saan galing ang mansanas?
From where is this archer fish?	Saan galing ang ataba?
From where is this asian clam?	Saan galing ang tulya?
From where is this asiatic yam?	Saan galing ang tugi?
From where is this avocado?	Saan galing ang abokado?
From where is this avocado?	Saan galing ang abukado?
From where is this bamboo shoot?	Saan galing ang labong?
From where is this banana?	Saan galing ang saging?
From where is this barracuda?	Saan galing ang torsilyo?
From where is this bay leaf?	Saan galing ang laurel?
From where is this bell pepper?	Saan galing ang siling pari?
From where is this beltfish?	Saan galing ang espada?
From where is this bigeye snapper?	Saan galing ang burara?
From where is this bitter gourd?	Saan galing ang ampalaya?
From where is this blue marlin?	Saan galing ang malasugi?
From where is this bottle gourd?	Saan galing ang upo?
From where is this bread?	Saan galing ang tinapay?
From where is this bream?	Saan galing ang bilaon?
From where is this broccoli?	Saan galing ang brokoli?
From where is this broom?	Saan galing ang walis?
From where is this cabbage?	Saan galing ang repolyo?
From where is this cabbage?	Saan galing ang pechay?
From where is this carrots?	Saan galing ang karot?
From where is this cashew?	Saan galing ang kasoy?
From where is this cashew?	Saan galing ang kasuy?
From where is this cassava?	Saan galing ang kamoteng kahoy?
From where is this catfish?	Saan galing ang hito?
From where is this catfish?	Saan galing ang kanduli?
From where is this celery?	Saan galing ang apyo?
From where is this celery?	Saan galing ang seleri?
From where is this charcoal?	Saan galing ang uling?
From where is this chayote?	Saan galing ang sayote?
From where is this cheese?	Saan galing ang keso?
From where is this chicken?	Saan galing ang manok?
From where is this chickpea?	Saan galing ang garbansos?
From where is this chico?	Saan galing ang tsiko?
From where is this chico?	Saan galing ang chico?
From where is this chili pepper?	Saan galing ang sili?
From where is this chili pepper?	Saan galing ang sili?
From where is this chinese cabbage?	Saan galing ang petsay?
From where is this chinese cabbage?	Saan galing ang petchay?
From where is this chinese celery?	Saan galing ang kinchay?
From where is this chinese celery?	Saan galing ang kintsay?
From where is this chorizo?	Saan galing ang embutido?
From where is this cilantro leaves?	Saan galing ang wansuy?
From where is this clam?	Saan galing ang halaan?
From where is this climbing perch?	Saan galing ang liwalo?
From where is this climbing perch?	Saan galing ang martiniko?
From where is this cobia?	Saan galing ang dalag-dagat?
From where is this coconut husk?	Saan galing ang bunot?
From where is this coconut pith?	Saan galing ang ubod?
From where is this coconut?	Saan galing ang buko?
From where is this cooking banana?	Saan galing ang saba?
From where is this cooking oil?	Saan galing ang mantika?
From where is this coriander?	Saan galing ang wansoy?
From where is this cornstarch?	Saan galing ang gawgaw?
From where is this cottonfruit?	Saan galing ang santol?
From where is this crab fat?	Saan galing ang aligue?
From where is this crab?	Saan galing ang alimasag?
From where is this crimson snapper?	Saan galing ang lohoran?
From where is this croaker?	Saan galing ang alakaak?
From where is this cucumber?	Saan galing ang pipino?
From where is this cuttlefish?	Saan galing ang hibya?
From where is this cuttlefish?	Saan galing ang canoos?
From where is this dipper?	Saan galing ang tabo?
From where is this dolphinfish?	Saan galing ang dorado?
From where is this dried fish?	Saan galing ang tuyo?
From where is this durian?	Saan galing ang durian?
From where is this eggplant?	Saan galing ang talong?
From where is this eggs?	Saan galing ang itlog?
From where is this emperor fish?	Saan galing ang bitilya?
From where is this endeavor prawn?	Saan galing ang swahe?
From where is this endeavor prawn?	Saan galing ang suahe?
From where is this endive?	Saan galing ang endiba?
From where is this fish ball?	Saan galing ang fishball?
From where is this fish sauce?	Saan galing ang patis?
From where is this flounder?	Saan galing ang dapa?
From where is this flour?	Saan galing ang arina?
From where is this flying fish?	Saan galing ang bolador?
From where is this fusilier?	Saan galing ang dalagang bukid?
From where is this garfish?	Saan galing ang kansusuit?
From where is this garlic chive?	Saan galing ang kuchay?
From where is this garlic chive?	Saan galing ang kutsay?
From where is this garlic?	Saan galing ang bawang?
From where is this ginger?	Saan galing ang luya?
From where is this gizzard shad?	Saan galing ang kabasi?
From where is this goatfish?	Saan galing ang bisugo?
From where is this goby fish?	Saan galing ang biya?
From where is this grapes?	Saan galing ang ubas?
From where is this green bean?	Saan galing ang bitsuwelas?
From where is this green bean?	Saan galing ang abitsuwelas?
From where is this ground meat?	Saan galing ang giniling?
From where is this grouper?	Saan galing ang lapulapu?
From where is this grouper?	Saan galing ang lapu-lapu?
From where is this grouper?	Saan galing ang lapu lapu?
From where is this grouper?	Saan galing ang lapu-lapu?
From where is this grunt fish?	Saan galing ang agoot?
From where is this guava?	Saan galing ang bayabas?
From where is this hawaiian ladyfish?	Saan galing ang bidbid?
From where is this herring scad?	Saan galing ang salaysalay?
From where is this herring scad?	Saan galing ang salay-salay?
From where is this hot dog?	Saan galing ang hotdog?
From where is this hot sauce?	Saan galing ang hot sauce?
From where is this hyacinth bean?	Saan galing ang bataw?
From where is this jackfruit?	Saan galing ang langka?
From where is this jamaica cherry?	Saan galing ang aratiles?
From where is this jasmine rice?	Saan galing ang milagrosa?
From where is this jute?	Saan galing ang saluyot?
From where is this ketchup?	Saan galing ang ketchup?
From where is this lady's finger?	Saan galing ang okra?
From where is this lanzones?	Saan galing ang lansones?
From where is this lechon sauce?	Saan galing ang sarsa?
From where is this lemongrass?	Saan galing ang tanglad?
From where is this lettuce?	Saan galing ang letsugas?
From where is this lettuce?	Saan galing ang litsugas?
From where is this lima bean?	Saan galing ang patani?
From where is this lima beans?	Saan galing ang patani?
From where is this lime?	Saan galing ang dayap?
From where is this liver spread?	Saan galing ang liber spred?
From where is this lizardfish?	Saan galing ang kalaso?
From where is this lychee?	Saan galing ang rambutan?
From where is this mackerel?	Saan galing ang alumahan?
From where is this mackerel scad?	Saan galing ang galunggong?
From where is this mackerel tuna?	Saan galing ang tulingan?
From where is this malabar spinach?	Saan galing ang alugbati?
From where is this mango?	Saan galing ang mangga?
From where is this mangrove king crab?	Saan galing ang bulik?
From where is this mangrove red snapper?	Saan galing ang isu?
From where is this milkfish?	Saan galing ang bangus?
From where is this moonfish?	Saan galing ang hiwas?
From where is this moonfish?	Saan galing ang chabeta?
From where is this moringa?	Saan galing ang malunggay?
From where is this mud crab?	Saan galing ang alimango?
From where is this mudfish?	Saan galing ang dalag?
From where is this mullet fish?	Saan galing ang banak?
From where is this mullet fish?	Saan galing ang asubi?
From where is this mullet fish?	Saan galing ang talilong?
From where is this mung bean sprouts?	Saan galing ang toge?
From where is this mung bean sprouts?	Saan galing ang togi?
From where is this mung bean sprouts?	Saan galing ang togue?
From where is this mushroom?	Saan galing ang kabute?
From where is this mussel?	Saan galing ang tahong?
From where is this mustard?	Saan galing ang mustasa?
From where is this needle fish?	Saan galing ang balo?
From where is this octopus?	Saan galing ang pugita?
From where is this onions?	Saan galing ang sibuyas?
From where is this orange mud crab?	Saan galing ang pulahan?
From where is this oxeye scad?	Saan galing ang matangbaka?
From where is this oyster?	Saan galing ang talaba?
From where is this papaya?	Saan galing ang papaya?
From where is this parrotfish?	Saan galing ang loro?
From where is this peanuts?	Saan galing ang mani?
From where is this pepper?	Saan galing ang paminta?
From where is this Philippine bacon?	Saan galing ang tocino?
From where is this pickled mango?	Saan galing ang buro?
From where is this pickled papaya?	Saan galing ang atsara?
From where is this pigweed?	Saan galing ang uray?
From where is this pineapple?	Saan galing ang pinya?
From where is this pomelo?	Saan galing ang suha?
From where is this pomfret?	Saan galing ang pampano?
From where is this ponyfish?	Saan galing ang sapsap?
From where is this pork belly?	Saan galing ang liempo?
From where is this pork hock?	Saan galing ang pata?
From where is this pork loin?	Saan galing ang lomo?
From where is this pork shoulder?	Saan galing ang kasim?
From where is this pork?	Saan galing ang baboy?
From where is this potato?	Saan galing ang patatas?
From where is this prawn?	Saan galing ang sugpo?
From where is this propane tank?	Saan galing ang gasul?
From where is this pumpkin?	Saan galing ang kalabasa?
From where is this purple yam?	Saan galing ang ube?
From where is this rabbitfish?	Saan galing ang danggit?
From where is this radish?	Saan galing ang labanos?
From where is this red bigeye fish?	Saan galing ang dilat?
From where is this ribbed gourd?	Saan galing ang patola?
From where is this round cabbage?	Saan galing ang repolyo?
From where is this round scad?	Saan galing ang galunggong?
From where is this safflower?	Saan galing ang kasubha?
From where is this salad?	Saan galing ang ensalada?
From where is this salt bread?	Saan galing ang pandesal?
From where is this sardine?	Saan galing ang tamban?
From where is this screw pine?	Saan galing ang pandan?
From where is this sea bass?	Saan galing ang apahap?
From where is this sea cucumber?	Saan galing ang balatan?
From where is this sea grape seaweed?	Saan galing ang lato?
From where is this sea grape seaweed?	Saan galing ang arosep?
From where is this sea urchin?	Saan galing ang tuyom?
From where is this seabream?	Saan galing ang bakoko?
From where is this seaperch?	Saan galing ang apahap?
From where is this seaweed?	Saan galing ang isda?
From where is this sesame?	Saan galing ang linga?
From where is this shore crab?	Saan galing ang talangka?
From where is this short mackerel?	Saan galing ang kabayas?
From where is this short mackerel?	Saan galing ang kabalyas?
From where is this short mackerel?	Saan galing ang hasa-hasa?
From where is this shrimp scad?	Saan galing ang salingga?
From where is this shrimp?	Saan galing ang hipon?
From where is this silk bananas?	Saan galing ang latundan?
From where is this silver fish?	Saan galing ang dulong?
From where is this silver fish?	Saan galing ang ayungin?
From where is this silver-biddy?	Saan galing ang malakapas?
From where is this skipjack tuna?	Saan galing ang gulyasan?
From where is this smoked fish?	Saan galing ang tinapa?
From where is this snail?	Saan galing ang suso?
From where is this snail?	Saan galing ang kuhol?
From where is this snapper?	Saan galing ang pargo?
From where is this snapper?	Saan galing ang mayamaya?
From where is this snapper?	Saan galing ang maya-maya?
From where is this snapper?	Saan galing ang bambangin?
From where is this snapper?	Saan galing ang maya-maya?
From where is this snapper?	Saan galing ang maya maya?
From where is this snow pea?	Saan galing ang sitsaro?
From where is this soursop?	Saan galing ang guyabano?
From where is this soy bean?	Saan galing ang balatong?
From where is this soy sauce?	Saan galing ang toyo?
From where is this spanish mackerel?	Saan galing ang tanigue?
From where is this spanner crab?	Saan galing ang curacha?
From where is this spiced vinegar?	Saan galing ang sinamak?
From where is this spinach?	Saan galing ang alugbati?
From where is this spinefoot fish?	Saan galing ang malaga?
From where is this spiny lobster?	Saan galing ang banagan?
From where is this sponge gourd?	Saan galing ang patola?
From where is this spotted scat?	Saan galing ang kitang?
From where is this squash?	Saan galing ang kalabasa?
From where is this squid?	Saan galing ang pusit?
From where is this star anise?	Saan galing ang sangke?
From where is this starapple?	Saan galing ang kaimito?
From where is this starapple?	Saan galing ang caimito?
From where is this starfruit?	Saan galing ang balimbing?
From where is this string beans?	Saan galing ang sitaw?
From where is this sugar apple?	Saan galing ang atis?
From where is this sugar?	Saan galing ang asukal?
From where is this sugarcane?	Saan galing ang tubong asukal?
From where is this surgeonfish?	Saan galing ang labahita?
From where is this sweet potato?	Saan galing ang kamote?
From where is this tamarind?	Saan galing ang sampalok?
From where is this tenderloin?	Saan galing ang tenderloin?
From where is this terapon fish?	Saan galing ang babansi?
From where is this terapon fish?	Saan galing ang bagaong?
From where is this tilapia?	Saan galing ang plapla?
From where is this tilapia?	Saan galing ang tilapia?
From where is this tilapia?	Saan galing ang pla pla?
From where is this tomato?	Saan galing ang kamatis?
From where is this toothpony fish?	Saan galing ang taksay?
From where is this tree cucumber?	Saan galing ang kamias?
